boundary_location,before_class,after_class,transition_type,nir_before_mean,nir_after_mean,nir_drop_absolute,brightness_before_mean,brightness_after_mean,brightness_drop_absolute,nir_ratio_before_mean,nir_ratio_after_mean,nir_ratio_change,rg_ratio_before_mean,rg_ratio_after_mean,rg_ratio_change,nir_d1_peak,nir_d1_peak_location,brightness_d1_peak,brightness_d1_peak_location,transition_width_nir,transition_asymmetry,band_synchrony_std,brightness_std_before,brightness_std_after,variability_ratio,nir_d2_max,nir_d2_at_boundary,nir_sustained_drop_points,rg_ratio_at_boundary,rg_ratio_d1_peak,transect_id,seed
50.5,VEGETATED_DUNES,BEACH_DRY,VEGETATED_DUNES->BEACH_DRY,168.2,176.6,-8.400000000000006,183.825,200.525,-16.700000000000017,0.9137110409942204,0.8753797235415407,0.0383313174526797,1.0120667316728438,1.0027452607155325,0.009321470957311284,-24.999999999999986,50.00004071452065,-17.79285714285713,51.00004071452065,0.0,0.3674078991038838,0.5,19.5911491495522,20.6377839168841,1.0534238578524537,20.928571428571416,-8.392857142857132,3,1.0095693779899477,-0.027691611891454526,100,321197
100.0,BEACH_DRY,BEACH_WET,BEACH_DRY->BEACH_WET,149.1,105.1,44.0,190.75,159.525,31.224999999999994,0.778522586441541,0.6585582486141612,0.11996433782737981,1.0117889722009443,1.0328686765068729,-0.021079704305928537,-10.371428571428567,93.00004071452064,-8.378571428571433,100.00004071452064,4.0,1.0155210643015573,2.9154759474226504,10.2755778426325,6.223393366966289,0.6056489924241494,4.671428571428578,2.6499999999999986,7,1.0439560439554705,-0.015329426144526703,100,321197
125.0,BEACH_WET,WATER,BEACH_WET->WATER,93.4,33.1,60.300000000000004,155.175,121.35,33.82500000000002,0.5951302411493475,0.2649835166696838,0.33014672447966376,1.0345755622674948,0.9788049444573652,0.0557706178101296,-11.885714285714286,117.00004071452064,-9.496428571428517,127.00004071452064,5.0,,4.330127018922194,12.86907630717916,12.069175613934863,0.9378431929261261,4.407142857142858,-1.5928571428571416,9,1.0055248618778976,-0.022128257060554435,100,321197
52.0,VEGETATED_DUNES,BEACH_DRY,VEGETATED_DUNES->BEACH_DRY,156.4,173.2,-16.799999999999983,164.8,198.325,-33.52499999999998,0.953359271187385,0.8681007678763069,0.0852585033110781,1.0097411022065133,1.0092926433841831,0.00044845882233013334,-29.657142857142837,51.000016632667496,-20.803571428571416,51.000016632667496,0.0,1.2864380358534688,0.0,31.558239811497725,19.07028119876579,0.6042884936763123,21.692857142857136,21.557142857142843,4,1.0416666666660468,-0.05657238574299628,103,612823
95.0,BEACH_DRY,BEACH_WET,BEACH_DRY->BEACH_WET,168.4,121.9,46.5,200.55,173.625,26.92500000000001,0.8383902720474439,0.7005615788891196,0.13782869315832424,1.008989609424716,1.0218731967563321,-0.012883587331616209,-9.357142857142861,92.0000166326675,-6.875,98.0000166326675,5.0,1.3672172808132155,2.598076211353316,6.371616749303115,8.433008063555969,1.3235271980974554,5.257142857142863,-1.6785714285714306,5,1.0097087378635876,-0.0024455265747853616,103,612823
120.0,BEACH_WET,WATER,BEACH_WET->WATER,65.0,23.3,41.7,138.9,113.3,25.60000000000001,0.4558673188557968,0.20566367573376926,0.25020364312202753,1.0317214041652547,0.9605031621279257,0.07121824203732896,-12.828571428571422,115.0000166326675,-7.232142857142847,115.0000166326675,3.0,0.9976133651551318,1.7320508075688772,12.268455485512428,1.0943034314119644,0.08919651154982021,3.6785714285714235,1.3785714285714281,8,0.9736842105256753,-0.02635233040584134,103,612823
52.0,VEGETATED_DUNES,BEACH_DRY,VEGETATED_DUNES->BEACH_DRY,171.8,184.6,-12.799999999999983,193.95,209.675,-15.725000000000023,0.885703968244299,0.877917894282462,0.007786073961836948,0.9915772505101053,1.0026358530856492,-0.011058602575543919,-22.257142857142952,42.000006012646566,-11.478571428571513,42.000006012646566,0.0,,1.5,12.071039723238425,11.70899760867684,0.9700073794087014,8.728571428571435,8.392857142857139,3,0.9948453608242295,-0.026811809927523966,196,612823
100.0,BEACH_DRY,BEACH_WET,BEACH_DRY->BEACH_WET,159.7,112.0,47.69999999999999,198.575,168.625,29.94999999999999,0.8011674101904707,0.6634972631332676,0.13767014705720304,1.0158260537594839,1.0498806681584274,-0.03405461439894353,-13.842857142857127,100.00000601264657,-10.796428571428564,99.00000601264657,5.0,1.0829059829059837,0.5,10.425359706024535,6.619337202469746,0.6349265050916765,8.407142857142848,0.8500000000000014,12,1.2105263157887658,-0.06704705101510999,196,612823
122.0,BEACH_WET,WATER,BEACH_WET->WATER,88.7,25.0,63.7,157.8,123.1,34.70000000000002,0.5596126381958778,0.20216347311802277,0.35744916507785507,1.0339886273490162,0.9674113763765406,0.06657725097247558,-14.914285714285704,120.00000601264657,-9.653571428571425,121.00000601264657,2.0,0.7060717571297148,3.112474899497183,6.471862174057788,4.226700841081611,0.6530888216415021,5.749999999999989,3.9785714285714304,6,1.0177514792893387,-0.015815652416724668,196,612823
51.0,VEGETATED_DUNES,BEACH_DRY,VEGETATED_DUNES->BEACH_DRY,198.0,175.8,22.19999999999999,213.8,206.975,6.825000000000017,0.9254248286068512,0.8487501518447853,0.07667467676206585,1.0198426662211455,1.019146305685368,0.0006963605357774849,-14.771428571428572,49.00000385854173,-8.8857142857143,49.00000385854173,1.0,1.188053097345133,0.0,7.431184293233482,6.058516732666504,0.8152827992952792,6.914285714285718,5.98571428571428,4,1.033018867924041,-0.006940526084428189,378,321197
