transect_id,zone_class,band,signal_mean,noise_std,snr_db
100,VEGETATED_DUNE,red,169.46153846153845,20.85523503589367,18.19712112379881
100,VEGETATED_DUNE,green,161.57692307692307,23.525228809355806,16.736909548883723
100,VEGETATED_DUNE,blue,145.3653846153846,24.76351910973529,15.372972799595319
100,VEGETATED_DUNE,nir,131.15384615384616,23.081281639678885,15.09042221396027
100,BEACH_DRY,red,216.46938775510205,10.07138204815258,26.64614836002418
100,BEACH_DRY,green,215.0408163265306,10.145792701297058,26.524698308992377
100,BEACH_DRY,blue,211.28571428571428,13.717261581894633,23.752054269401555
100,BEACH_DRY,nir,182.0612244897959,24.75793681297613,17.330060182823143
100,BEACH_WET,red,190.32,9.69007739907169,25.863143661126177
100,BEACH_WET,green,184.92,11.411993690849991,24.192447237635164
100,BEACH_WET,blue,169.68,16.842137631547843,20.064668869666505
100,BEACH_WET,nir,107.6,22.73147597495596,13.503692711256473
100,WATER,red,116.49142857142857,38.35188482184096,9.650145175376627
100,WATER,green,138.17714285714285,30.980501570359067,12.986955274230427
100,WATER,blue,120.70857142857143,33.85702182015737,11.041787134207162
100,WATER,nir,22.84,14.634893723075487,3.866130531788168
378,VEGETATED_DUNE,red,188.57692307692307,24.419684803804486,17.75496982541172
378,VEGETATED_DUNE,green,173.69230769230768,31.041249517337945,14.956827809871015
378,VEGETATED_DUNE,blue,143.5,36.43408167763128,11.90688146959278
378,VEGETATED_DUNE,nir,146.98076923076923,29.517589530921665,13.9435925352263
378,BEACH_DRY,red,228.0,2.7856776554368237,38.26007972742719
378,BEACH_DRY,green,224.1,3.1890437438203945,36.93562760147378
378,BEACH_DRY,blue,210.42,4.209940617158394,33.97622092556017
378,BEACH_DRY,nir,183.6,8.378544026261364,26.81408241600642
378,BEACH_WET,red,195.44827586206895,15.352380938330842,22.097122113495764
378,BEACH_WET,green,184.0344827586207,18.25392307124915,20.0708597796691
378,BEACH_WET,blue,152.89655172413794,23.983248216326853,16.089793772864734
378,BEACH_WET,nir,97.03448275862068,33.91112395926648,9.131678216237946
